row_delta_threshold,Metric,longbench_hotpotqa,longbench_multifieldqa_en,longbench_narrativeqa,longbench_passage_retrieval_en,Average
Baseline,accuracy,0.55,0.58,0.328,1.0,0.615
Baseline,sparsity,0.0,0.0,0.0,0.0,0.0
Baseline,total_avg_ms,0.0,0.0,0.0,0.0,0.0
Baseline,total_benchmark_time_s,28.7,35.708,54.394,26.316,36.28
0.6,accuracy,0.339,0.352,0.219,0.8,0.427
0.6,sparsity,0.857,0.857,0.889,0.895,0.875
0.6,total_avg_ms,6.906,9.554,14.939,6.523,9.481
0.6,total_benchmark_time_s,20.926,48.889,40.555,19.154,32.381
0.8,accuracy,0.511,0.463,0.405,1.0,0.595
0.8,sparsity,0.47,0.481,0.528,0.539,0.505
0.8,total_avg_ms,10.456,6.298,30.454,9.363,14.142
0.8,total_benchmark_time_s,22.76,27.899,47.657,20.874,29.797
0.9,accuracy,0.497,0.572,0.325,1.0,0.599
0.9,sparsity,0.105,0.11,0.139,0.16,0.129
0.9,total_avg_ms,15.436,8.356,48.853,13.663,21.577
0.9,total_benchmark_time_s,25.853,27.275,56.671,23.881,33.42
0.95,accuracy,0.559,0.581,0.351,1.0,0.623
0.95,sparsity,0.006,0.006,0.007,0.016,0.008
0.95,total_avg_ms,17.826,9.342,58.159,15.719,25.261
0.95,total_benchmark_time_s,26.879,26.269,62.819,24.747,35.179
0.99,accuracy,0.406,0.475,0.343,1.0,0.556
0.99,sparsity,0.0,0.0,0.0,0.0,0.0
0.99,total_avg_ms,18.013,9.383,59.287,15.956,25.66
0.99,total_benchmark_time_s,27.8,28.243,64.358,25.423,36.456
